,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
451,1,RS11.22,07/03/2018,825,827,832,5,OWO - AKR,KM 6 AMURIN FRM IKR JUCNT,KJA 227 XU,P/UP,COM,SUZUKI EVERY,P/UP,,,,BRD & SPV,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
452,2,RS11.22,08/03/2018,155,645,658,13,OWO - AKR,KM 17 USO AFTER AMURIN,GGE 951 EA & APP 985 DW,CAR & BUS,PVT & COM,2 TYT,CAMRY & SIENNA,,,,SPV & LOC,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
453,3,RS11.22,18/03/2018,1520,1525,1530,5,OWO - AKR,KM 7 EMURE FRM IKARE JUCNTION,"AAA 585 XB, AGL 639 XA & XF 865 JJN",BUS & 2 TRL,3 COM,"PGT, DAF & MACK",BUS & 2 TRL,,,,BRD,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8
454,4,RS11.22,21/03/2018,1730,1802,1816,14,OWO - AKR,KM 25 OGBESE,"KFR 91 XA, AKR 772 AJ & NO NOS","BUS, CAR & BIKE",3 COM,"PGT, NISSAN & SUZUKI","DUCATO 20, PRIMERA & HAOJUE",,,,DGD,3,2,0,0,5,2,0,0,0,2,5,3,0,0,8
455,5,RS11.22,22/03/2018,1945,1950,1956,6,OWO - T/SHIP,KM 12 IMODE,NO NOS,BIKE,COM,SUZUKI ,HAOJUE,,,,SPV,1,0,0,0,1,0,1,0,0,1,1,1,0,0,2
456,6,RS11.22,24/03/2018,1211,1218,1223,5,OWO - IKR,KM 5 AGOPANU,KNA 06 LG & RSH 185 TS,BUS & JEEP,GOV & PVT,TYT & ISUZU,HIACE & AXIOM,,,,SPV & BRD,4,8,0,0,12,1,0,0,0,1,5,9,0,0,14
457,7,RS11.22,26/03/2018,1300,1300,1307,7,OWO - AKR,KM 7 AFTER TISCO,XK 427 SMK & TWD 433 XA,TRK & TRL,2 COM,DAF 2800 & SHACMAN F2000,YTR & TRL,,,,SPV,2,0,0,0,2,0,0,0,0,0,6,0,0,0,6
458,8,RS11.22,29/03/2018,2240,2245,2300,15,OWO - AKR,KM 7 AFTER TISCO,FGE 536 ZS,BUS,COM,TYT,HIACE,,,,SPV & BRD,3,2,0,0,5,0,0,0,0,0,17,2,0,0,19
459,1,RS11.23,01/03/2018,1447,1452,1458,6,IKR - OWO,KM 16 ETIORO,AKR 946 TE & KAA 241 VX,CAR & BIKE,PVT & COM,MISTB & BAJAJ,CAR & BIKE,,,,LOC & BFL,0,0,0,0,0,1,0,0,0,1,3,0,0,1,4
460,2,RS11.23,01/03/2018,1736,1738,1740,2,IKR - AJOWA,102 M OPP FORT OIL,NO NOS,BIKE & HIT & RUN,COM,BAJAJ,SUZUKI,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,1,0,0,3
461,3,RS11.23,09/03/2018,1046,1048,1058,10,IKR - ADO,KM 22 FRM IKR,"MUS 623 AU, KUJ 86 ZF, FKJ 608 DZ & ABC 626 GB",3 BUS & CAR,4 PVT,4 TYT,"2 SIENNA, HIACE & CAMRY",,,,BFL,3,1,0,0,4,0,0,0,0,0,16,10,0,1,27
462,4,RS11.23,10/03/2018,1501,1504,1519,15,IKR - OWO,KM 19 MOPOL CHECK POINT OBA AKOKO,DY 847 SPR & BE 821 AKR,2 CAR ,2 PVT,MAZDA & NISSAN,323 & PREVIA,,,,WOV,8,2,0,0,10,0,0,0,0,0,11,2,0,0,13
463,5,RS11.23,11/03/2018,1934,1939,1949,10,IKR - ISUA,KM 21 OKIAH VALLEY,LSR 810 XS,TRK,COM,SCANIA,TRK,,,,BFL,1,2,0,0,3,0,0,0,0,0,2,2,0,0,4
