,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
219,8,RS11.2,28/05/2018,1440,1445,1450,5,AKR - OWO,KM 3 QUARTER GUARD AREA,FAR 475 XS & SGM 301 QE,TRK & BIKE,2 COM,FIT IN AUMAN & BIKE,TRK & BIKE,,,,SPV,1,0,0,0,1,1,0,0,0,1,4,0,0,0,4
221,1,RS11.21,01/05/2018,1522,1527,1534,7,ORE - LAG,KM 14 FRM ORE,LSD 495 CJ,BUS,PVT,HYUNDAI,BUS,,,,SPV & SOS,1,3,1,4,9,0,0,0,0,0,1,3,1,4,9
222,2,RS11.21,05/05/2018,2015,2027,2036,9,ORE - OND,KM 1 GOMEZ AXIS,NO NOS & QH026 REE,TRK & BIKE,2 COM,BEDFORD & BAJAJ,TRK & BOXERS,,,,DOT & SPV,2,0,0,0,2,1,0,0,0,1,5,0,0,0,5
223,3,RS11.21,12/05/2018,2013,2020,2033,13,ORE - OKT,KM 05 IRELE JUNCTION,XT 371 FST & AKR 803 MM,TRK & CAR,COM & PVT,MACK & TYT,TRK & CAMRY,,,,SPV,3,0,0,0,3,1,0,0,0,1,4,0,0,0,4
224,4,RS11.21,18/05/2018,1730,1745,1750,5,ORE - LAG,KM 2 BY SOKA BRIDGE,UNKNOWN (CAUGHT FIRE),BUS,COM,TYT,PICNIC,,,,TBT & SPV,6,2,0,0,8,0,2,0,0,2,6,4,0,0,10
225,5,RS11.21,19/05/2018,1425,1426,1456,30,ORE - BEN,KM 25 OPP ELEVANT QUARRY,YAB 853 BH,BUS,COM,TYT,SIENNA,,,,SPV & BFL,1,2,0,0,3,0,0,0,0,0,5,2,0,0,7
226,6,RS11.21,23/05/2018,1002,1008,1014,6,ORE - BEN,KM 3 ASOP BRIDGE,LND 421 XV,BUS,COM,TYT,SIENNA,,,,SPV,0,0,0,0,0,0,0,0,0,0,9,1,0,0,10
228,1,RS11.22,04/05/2018,0432,0450,0459,9,OWO - IKR,KM 5 AFTER ARMY CHECK POINT,JBD 77 XA & TOO 57 YB,BUS & CAR,2 COM,TYT & TURBO,HIACE & CAR,,,,BRD & LOC,1,0,0,0,1,1,0,0,0,1,7,1,0,3,11
229,2,RS11.22,05/05/2018,1740,1745,1750,5,OWO - AKR,KM 7 AMURIN,NO NOS ,CAR,PVT,TYT,COROLLA,,,,BRD & SPV,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
230,3,RS11.22,06/05/2018,1533,1536,1540,4,OWO - IKR,KM 3 EPEME,WWW 672 AA & FG 33520,BUS & JEEP,PVT & GOV,NISSAN & TYT,SERENA & LAND CRUISER,,,,SPV & BRD,0,0,0,0,0,0,0,0,0,0,5,1,1,0,7
231,4,RS11.22,08/05/2018,1525,1530,1535,5,OWO - IKR,KM 2 B4 ARMY CHECK POINT,JMA 169 XA,BUS,COM,TYT,HIACE,,,,TBT,6,0,0,0,6,0,0,0,0,0,17,0,0,0,17
232,5,RS11.22,08/05/2018,2140,2316,2325,9,OWO - AKR,KM 11 AMURIN,AKK 983 XA,BUS,COM,FIAT,DUCATO,,,,TBT,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
233,6,RS11.22,11/05/2018,1715,1721,1726,5,OWO - AKR,KM 7 AFTER TISCO,OD454A01,CAR,GOV,TYT,COROLLA,,,,WOV,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4
234,7,RS11.22,16/05/2018,1325,1328,1333,5,AKR - OWO,KM 12 AMURIN,ALK 24 XA,TRK,COM,DAF 95,TRK,,,,MDV & LOC,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
235,8,RS11.22,22/05/2018,1312,1320,1323,3,OWO - AKR,0,LSD 937 AR & SUA 217 XA,BUS & CAR,2 COM,TYT & V/WAGEN,HIACE & GOLF 4,,,,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,22
