,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,cause1,cause2
629,"['IKR', 'AJW']",KM 25 IGEDEGEDE BRIDGE,JB 433 WA,BUS & TRK,COM,MAZDA,BUS,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,6,8,2019,600,2100,1500,1,8,IKR,AJW,SPV,
630,"['IKR', 'ISUA']",410 METERS ,BRT 99 XA  UNKNOWN,BUS & TRK,2 COM,PGT,J5,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,24.0,7,8,2019,360,660,300,2,4,IKR,ISUA,SPV,
631,"['IKR', 'OWO']",KM 25 OBA AKOKO,AKD 232 XC & USS 52 XA,BUS & TNK,2 COM,DAF & TYT,TNK& HAICE,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,7.0,8.0,33.0,8,8,2019,300,1200,900,2,11,IKR,OWO,SPV,LOC
632,"['IKR', 'OWO']",KM 25 OSE OBA AKOKO,XE 201 AKD,TRL,COM,HOWO SINO,TRL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,8,17,2019,300,1200,900,1,19,IKR,OWO,SPV,LOC
633,"['OKA', 'AKUNGBA']",KM 7 IWARO OKA AKOKO,TANK,TRL,COM,DAF,TRL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8,24,2019,180,420,240,1,10,OKA,AKUNGBA,BFL,
634,"['OND', 'AKR']",KM 11 IFE ROUND ABOUT,XQ 974 AGL & ABC 793 ZV,BUS & P/UP,2 COM,2 TYT,HIACE & CABSTER,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,11.0,7.0,0.0,0.0,18.0,8,8,2019,2040,2580,540,2,9,OND,AKR,SPV,
635,"['OND', 'AKR']",KM 12 BOLORUNOKU IFE ROUND ABOUT,LND 648 FM & KRD 868 BP,BUS & CAR,2 PVT,TYT & V/WAGEN,PICNIC & GOLF,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,8,24,2019,180,1080,900,2,15,OND,AKR,SPV,
636,"['AKR', 'OWO']",KM 2 ONYARUGBULEM JUNCTION,KTP 821 RG & NO NOS,BUS & BIKE,2 COM,TYT & BAJAJ,IPSUM & BOXERS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,1,9,2019,300,600,300,2,9,AKR,OWO,LOC,
637,"['AKR', 'OWO']",KM 6 POWERLINE SHASHA,APP 456 CH & FF 857 WV,CAR & BIKE,PVT & COM,TYT & TVS,CAMRY & BIKE,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,5,9,2019,600,1020,420,2,11,AKR,OWO,SLV,
638,"['AKR', 'OWO']",KM3 OLUFORM AKURE,FGB 454 XB & XC 607 KJA,CAR & TRK,PVT & COM,NISSAN & MACK,ALMERA & TIPPER,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5,9,2019,300,600,300,2,21,AKR,OWO,SPV,
